test_id,output_a,output_b
1,deterministic,tool_calling
2,deterministic,tool_calling
3,deterministic,tool_calling
4,tool_calling,deterministic
5,deterministic,tool_calling
6,deterministic,tool_calling
7,tool_calling,deterministic
8,tool_calling,deterministic
9,tool_calling,deterministic
10,deterministic,tool_calling
11,tool_calling,deterministic
12,deterministic,tool_calling
13,tool_calling,deterministic
14,deterministic,tool_calling
15,deterministic,tool_calling
16,deterministic,tool_calling
17,deterministic,tool_calling
18,tool_calling,deterministic
19,deterministic,tool_calling
20,deterministic,tool_calling
21,deterministic,tool_calling
22,tool_calling,deterministic
23,deterministic,tool_calling
24,deterministic,tool_calling
25,deterministic,tool_calling
26,tool_calling,deterministic
